Time,x Acceleration,y Acceleration,z Velocity
1609464426.553673,-8.21,-5.96,-2.81
1609464426.786148,-16.51,-0.22,-3.10
1609464427.0182452,-7.46,1.67,0.90
1609464427.2448928,-5.25,0.59,0.19
1609464427.474145,-5.33,0.89,0.07
1609464427.706314,-5.13,0.52,0.60
1609464427.959029,-7.53,1.82,1.38
1609464428.211736,-8.28,3.36,0.90
1609464428.437099,-9.37,1.24,-0.47
1609464428.700237,-6.40,-3.56,-2.25
1609464428.9259331,-8.92,-4.71,-1.60
1609464429.155542,-9.73,0.25,1.20
1609464429.3959942,-4.89,-0.95,0.17
1609464429.643899,-5.23,-0.70,0.06
1609464429.862317,-5.22,0.64,0.64
1609464430.104086,-8.66,-8.15,4.27
1609464430.329761,-10.35,-8.34,-4.16
1609464430.5568871,-16.83,-1.48,-2.33
1609464430.796679,-4.62,-0.88,0.10
1609464431.031286,-5.03,0.47,0.05
1609464431.273505,-4.60,1.70,0.67
1609464431.5021188,-4.95,-6.32,-1.00
1609464431.729279,-9.88,-7.18,-4.37
1609464431.953248,-10.42,3.61,3.95
1609464432.180375,-4.98,-0.33,0.10
1609464432.429535,-4.95,0.16,0.01
1609464432.676717,-4.41,1.40,2.63
1609464432.900257,-5.99,-3.71,-1.61
1609464433.1257641,-11.54,-5.14,-3.49
1609464433.3450491,-8.71,-0.27,0.81
1609464433.571212,-5.16,-1.00,0.11
1609464433.797334,-4.74,-1.64,0.17
1609464434.0236669,-4.24,-1.77,3.82
1609464434.254832,-4.83,-7.24,-2.44
1609464434.48739,-17.65,-3.60,-3.82
1609464434.716937,-4.41,-1.20,0.10
1609464434.942438,-4.96,-0.58,0.12
1609464435.1684601,-4.89,-0.51,0.34
1609464435.39136,-12.79,-7.30,4.37
1609464435.620533,-9.00,-8.52,-4.37
1609464435.864992,-21.91,0.99,-1.62
1609464436.1069381,-4.65,-1.18,0.16
1609464436.338434,-5.17,0.16,0.07
1609464436.574246,-4.47,-0.05,0.68
1609464437.222844,-16.53,-2.32,3.16
1609464437.447027,-4.63,-1.29,0.19
1609464437.6866639,-5.10,0.04,0.11
1609464437.919662,-4.78,1.97,0.65
1609464438.152556,-12.70,-2.97,0.22
1609464438.383305,-10.96,-6.43,-4.13
1609464438.612442,-9.00,6.00,0.51
1609464438.862381,-5.18,-0.07,0.02
1609464439.093386,-4.82,0.34,0.04
1609464439.346377,-5.02,1.17,0.17
1609464439.581016,-6.21,1.75,0.85
1609464439.804785,-6.27,1.93,-2.96
1609464440.0414138,-7.43,-3.28,-0.08
1609464440.291244,-4.89,0.01,0.11
1609464440.512529,-4.97,0.00,0.08
1609464440.7398112,-4.75,0.68,0.68
1609464440.978945,-13.23,-1.33,4.37
1609464441.218157,-7.12,6.17,-4.37
1609464441.4671822,-8.72,1.65,0.69
1609464441.709206,-5.06,0.15,0.11
1609464441.943834,-5.11,-0.43,0.10
1609464442.172818,-4.99,0.54,1.21
1609464442.400269,-14.98,-7.38,2.16
1609464442.6404061,-8.92,5.41,-4.37
1609464442.866066,-0.26,-11.42,0.95
1609464443.095804,-4.85,0.23,0.16
1609464443.3306408,-5.29,-0.01,0.14
1609464443.5624661,-4.19,-0.31,3.19
1609464443.827086,-2.01,-0.21,-3.04
1609464444.0587032,-19.51,7.80,-3.48
1609464444.285095,-5.24,-0.42,0.11
1609464444.50584,-4.86,-0.12,0.10
1609464444.735919,-5.02,0.56,1.01
1609464444.963381,-8.60,-6.49,0.74
1609464445.1912398,-10.30,5.64,-4.37
1609464445.467277,-10.24,2.53,1.24
1609464445.693353,-4.92,-0.09,0.07
1609464445.930464,-4.83,-0.59,0.22
1609464446.167267,-9.35,-2.46,4.37
1609464446.401864,-5.20,6.20,-3.72
1609464446.6344588,-13.01,3.22,-1.25
1609464446.860554,-5.36,-0.09,0.08
1609464447.09498,-4.86,-0.36,0.04
1609464447.328044,-4.75,1.35,1.54
1609464447.565969,0.40,-4.49,-1.30
1609464447.8022568,-16.07,8.17,-3.93
1609464448.0312152,-6.41,2.07,0.60
1609464448.271921,-4.98,-0.60,0.18
1609464448.49898,-5.36,0.00,0.32
1609464448.719758,-10.25,0.51,4.37
1609464448.947747,-5.32,5.25,-3.43
1609464449.1824589,-16.43,8.97,-2.42
1609464449.415015,-5.08,-0.13,0.13
1609464449.6958878,-5.02,-0.29,0.12
1609464449.930293,-4.88,0.75,1.26
1609464450.1818838,1.50,-3.40,-1.78
1609464453.187635,-15.09,8.06,-4.17
1609464453.4262102,-5.16,0.16,0.02
1609464453.663483,-4.84,-0.28,0.20
1609464453.887129,-4.49,1.13,1.76
1609464454.123927,0.77,-1.68,-1.80
1609464454.3694432,-15.60,8.22,-3.86
1609464454.595867,-6.54,2.21,0.43
